school-transportation-cost,traffic-lights?,high-income-percentage,with-school-choice?,alpha,D-segregation,delta-Achievement
10,true,20,false,0.2,0.19845454545454544,0.035609551260503025
10,true,20,false,0.2,0.18832937898308832,-0.012426110170391524
10,true,20,false,0.2,0.18572298061038173,4.5111809836306804E-4
10,true,20,false,0.2,0.2042638554957485,0.03365803429864567
10,true,20,false,0.2,0.18446016980934873,-0.03230257835250949
10,true,20,false,0.2,0.18481048731832428,-0.018779995801700977
10,true,20,false,0.2,0.1830438756855576,-0.007702567739301003
10,true,20,false,0.3,0.18282891019908787,0.0550536146439109
10,true,20,false,0.3,0.165483962531933,0.0026909175768023985
10,true,20,false,0.3,0.1894541451727784,0.05168708046309067
10,true,20,false,0.3,0.1906035515807265,0.02870122998190272
10,true,20,false,0.3,0.1811059149294923,-0.007394036149000804
10,true,20,false,0.3,0.19647481167608302,-0.054308193088158596
10,true,20,false,0.3,0.18438240696283084,-0.02964168464907946
10,true,20,false,0.3,0.18643964736056703,0.049423919598460486
10,true,20,false,0.3,0.1994040133830243,-0.02761364515092435
10,true,20,false,0.3,0.1861043361895923,0.016915028279796296
10,true,20,false,0.3,0.17086465145307028,0.023490608195367635
10,true,20,false,0.3,0.20564306502854865,0.03192293022125536
10,true,20,false,0.3,0.18693665656195219,-0.010599883346368522
